year	author	title	citations	social_network	sample_size	sample_country	study_type	variables	cites
2014	Doherty & Lang	An Exploratory Survey of the Effects of Perceived Control and Perceived Risk on Information Privacy	6	Generic	260	Ireland	"correlational, exploratory"	"perceived control,trust,privacy disposition,adverse experiences,perceived risk"	"Lanier & Saini 2008,Greenfield 2013,Weckler 2014,Hardawar 2011,Moses 2011,Edwards 2013,Belanger & Crossler 2011,Smith et al 2011,Acquisti & Gross 2006,Dinev & Hart 2003,Veltri et al 2011,Hoadley et al 2010,Culnan & Armstrong 1999,Dinev et al 2013,Krasnova et al 2010,Dinev 2006,Malhotra et al 2004,Norberg et al 2007,Margulis 1977,Johnson 1974,Langer 1975,Laufer & Wolfe 1977,Margulis 2003,Xu 2007,Grabner-Kr & Kaluscha 2003,Hoffman et al 1999,Turow 2003,Netchitailova 2012,Posey et al 2010,Zimmer et al 2010,Dinev et al 2013,Rauhofer 2008,Weber 2011,Horne 2007"
2015	Dong et al	Predicting Privacy Behavior on Online Social Networks	14	Google+	1088	US	"experimental, secondary analysis"	"trustworthiness,sharing tendency,sensitivity,appropriateness,contextual factors"	"Acquisti & Grossklags 2005,Adams 2000,Adomavicius & Tuzhilin 2011,Borcea-Pfitzmann et al 2011,Brenner & Smith 2013,Compañó & Lusoli 2010,Consolvo et al 2005,Culnan 1993,Fang & LeFevre 2010,Gong et al 2011,Hall et al 2009,Karatzoglou et al 2010,Knijnenburg & Kobsa 2013,Knijnenburg & Kobsa 2014,Knijnenburg et al 2013,Lederer et al 2003,Lewis et al 2008,Liu et al 2011,Nissenbaum 2009,Norberg et al 2007,Quercia et al 2012,Ravichandran et al 2009,Sadeh et al 2009,Smith et al 2013,Swets 1988,Taylor 2003,Thaler & Sunstein 2008,Toch et al 2010,Westin 1998,Zickuhr 2012"
2006	Drennan et al	"Privacy, Risk Perception, and Expert Online Behavior: An Exploratory Study of Household End Users"	165	E-commerce	76	US	"correlational, exploratory"	"privacy active,privacy suspicious,risk,online subscription and purchasing"	"Aladwani 2002,Bhatnagar et al 2000,Bryman & Cramer 2006,Buchholz & Rosenthal 2002,Campbell & Goodstein 2001,Charters 2002,Cook & Coupey 1998,Culnan 1995,Culnan & Bies 2003,DeVaus 2001,Dowling & Staelin 1994,Festerand et al 1986,Frewer et al 1994,Goodwin 1991,Graeff & Harmon 2002,Greenspan 2004,Ho & Ng 1994,Hoy & Phelps 2003,Huizingh & Hoekstra 2003,Jarvenpaa & Tractinsky 1999,Kaplan et al 1974,Katz & Rice 2002,Larkin et al 1980,Lavidge & Steiner 1961,McCloskey 1980,Milne & Rohm 2000,Mitchell 1999,Miyazaki et al 1995,Orwell 1951,Pavlou 2003,Rainie & Kohut 2000,Retsky 2001,Rodgers & Sheldon 2002,Roselius 1971,Sappington & Silk 2003,Saythe 1999,Schiffman et al 1976,Sheehan & Hoy 2000,Sheenhan 2002,Stone & Winter 1987,Sweat 2001,Warren et al 2002,Wyatt et al 2002"
2007	Dwyer et al	Trust and privacy concern within social networking sites: A comparison of Facebook and MySpace	1556	"Facebook, Myspace"	117	Not specified	"correlational, confirmatory"	"privacy concern,trust of site,trust of other members,information sharing,development of relationships"	"Acquisti & Gross 2006,Awad & Krishnan 2006,Boyd 2004,Boyd 2006,Boyd & Heer 2006,Buchanan et al 2006,Chiaramonte & Martinez 2006,Coppola et al 2004,Donath 2004,Dwyer 2007,Erickson & Kellogg 2000,Fukuyama 1995,Goodhue et al 2000,Hass 2006,New et al 1998,Lampe et al 2007,Lessig 1998,Lewis & Weigert 1985,Mayer et al 1995,Metzger 2004,Meyerson 1996,Kramer & Mintz 2005,Piccoli & Ives 2003,QuantCast 2007,QuantCast 2007,Read 2006,Washington & Roloff 1981,Schrobsdorff 2006,Schweizer et al 2006,Stutzman 2006"
2014	Feng & Xie	Teens’ concern for privacy when using social networking sites: An analysis of socialization agents and relationships with privacy-protecting behaviors	62	Generic	1604	US	"correlational, confirmatory, secondary analysis"	"teen sns use,parent concern for teen,teen privacy concern,teen privacy strategy use,teen profile visibility"	"Boveda-Lambie & Hair 2012,Bryce & Fraser 2014,Bulgurcu et al 2010,Butler et al 2011,Felt & Evans 2008,Flichy 2002,George & Mallery 2003,Guo 2010,Herring 2008,Hoy & Milne 2010,Koesten & Anderson 2004,Lenhart & Madden 2007,Lenhart et al 2011,Lessing 1998,Lewis et al 2008,Livingstone 2002,Lohr 2012,Madden et al 2012,Mangleburg & Bristol 1998,Mohamed & Ahmad 2012,Moscardelli & Divine 2007,Moscardelli & Liston-Heyes 2011,Nathanson 2001,Neuborne 2001,Nowak & Phelps 1995,Ou 2011,Palen & Dourish 2003,Peter et al 2009,Rose et al 1998,Schonberger 2005,Sheehan 2004,Shin & Huh 2011,Shin et al 2012,Richter 2007,Taraszow et al 2010,Turow et al 2009,Turow & Nir 2000,Westin 1967,Willard 2007,Youn 2005,Youn 2008,Young & Quan-Haase 2009"
2018	Fox & Royne	Private Information in a Social World: Assessing Consumers' Fear and Understanding of Social Media Privacy	0	Fictitious	154	US	experimental	"presence of text/audio/pictorial cues in privacy policy,fear,consumers’ understanding of social media privacy policies,awareness of privacy practices"	"Alba et al 1997,Anderson & Gerbing 1988,Ang 2011,Angst & Agarwal 2009,Arbuckle 2007,Bagozzi 1975,Beagles-Roos & Gat 1983,Beitelspacher et al 2014,Beldad et al 2011,Bodle 2011,Bollen & Lennox 1991,Bonnel & Hafter 1997,Brucks 1985,Buchanan et al 2006,Buchanan et al 2010,Cervellon 2012,Chaiken & Eagly 1976,Childers & Houston 1984,Cohn et al 2006,Cole et al 1991,Culnan 1995,Culnan & Milberg 1998,DMello et al 2007,Daugherty et al 2008,Duhan et al 1997,Eastlick et al 2006,Eimer 1999,Ekman 1999,Ekman & Friesen 1978,Ellen 1991,Facebook 2016,Federal Trade Commission 2009,Fishbein & Ajzen 1975,Flynn & Goldsmith 1999,Ford 2011,Fornell & Larcker 1981,Foster et al 2011,Fowler 2012,Freimuth et al 1990,Gathercole & Baddeley 1993,Gibbons et al 1986,Google 2016,Gross & Levenson 1995,Hair et al 2010,Harris et al 2010,Harrison-Walker 2002,Hastings et al 2004,Hendrix 2014,Hinkin 1998,Hinkin & Tracey 1999,Hu & Bentler 1999,iMotions 2014,Interactive Advertising Bureau 2008,Jacoby et al 1983,Job et al 1992,Jurgenson & Rey 2012,Kaplan & Haenlein 2010,Kim & Kim 2011,LaRose & Rifon 2007,Lethto & Miller 1986,Liu & Reed 1995,Liu & Stout 1987,MacKenzie et al 2011,Malhotra et al 2004,Malhotra et al 2006,Martin 2015,McCusker et al 1981,Milne & Culnan 2004,Milne & Rohm 2000,Milne et al 2009,Moorman 1999,Morales et al 2012,Munoz & Wood 2007,Nairn & Monkgol 2007,Nasco & Bruner 2007,National Conference of State Legislatures 2016,Nowak & Phelps 1992,Nowak & Phelps 1997,Nunnally 1978,Oskamp 1965,Park & Parker Lessig 1981,Park et al 1994,Peck & Childers 2008,Pew Research Center 2015,Phelps et al 2000,Pieters & Wedel 2004,Poddar et al 2009,Podsakoff & Organ 2010,Pollach 2007,Pratt & MacKenzie-Keating 1985,Privacy Rights Clearinghouse 2012,Raju et al 1995,Ramsey & Deeter-Schmelz 2008,Redecker et al 2009,Reeves 1983,Reinhard & Sporer 2010,Roseman et al 1994,Rossiter & Percy 1997,Royne et al 2012,Sheehan & Hoy 1999,Stanaland et al 2009,Statista 2016,Tavassoli & Lee 2003,Tsai et al 2011,Tucker 2014,Turow et al 2008,Unnava et al 1996,Vail et al 2008,Westin 1967,Wheatley 1971,Wills & Zeljkovic 2011,Wood et al 2016,Wood & Moreau 2006,Youn 2009,Zynga 2012"
2014	Garg et al	The Privacy Paradox: A Facebook Case Study	5	Facebook	384	Not specified	"correlational, confirmatory"	"gender,age,income,education,privacy preferences,voluntariness,immediacy,experts,exposed,control,newness,common-dread,chronic-catastrophic,severity,usability"	"Ackerman & Cranor 1999,Acquisti 2004,Acquisti 2009,Acquisti & Grossklags 2005,Adams 1999,Adu-Oppong et al 2008,Anderson & Moore 2006,Arellano 1987,Awad & Krishnan 2006,Bhatnagar et al 2000,Bilton 2012,Koble 2007,Bonneau & Preibusch 2009,Boyd 2009,Boyd & Hargittai 2010,Brandimarte et al 2013,Brooke 1996,Brown & Goolsbee 2002,Caine et al 2011,Camp 2009,Cassell et al 2006,Christofides et al 2012,Conti et al 2005,Cranor 2008,DiGioia & Dourish 2005,Dourish & Anderson 2006,Drennan et al 2006,Edelman 2009,Edwards et al 2008,Egelman et al 2011,Finstad 2006,Fischhoff et al 1978,Forsythe & Shi 2003,Garg & Camp 2012,Garg & Camp 2013,Garg & Nilizadeh 2013,Grimmelmann 2009,Gurses & Berendt 2010,Hoofnagle et al 2010,Hoy & Milne 2010,Salvendy et al 2011,Iachello & Hong 2007,Inglesant & Sasse 2010,Jarvenpaa et al 2000,Keller et al 2006,Kelley 2010,Kittur et al 2008,Liberman et al 2007,Lipford et al 2008,Malhotra et al 2004,Malin & Sweeney 2001,Mason & Suri 2010,Miyazaki & Fernandez 2001,Nissenbaum 2009,Odlyzko 2004,Park & Jun 2003,Patil & Kapadia 2012,Posner 1977,Posner 1981,Kostakos 2011,Rode et al 2006,Salisbury et al 2001,Sasse et al 2001,Sherman 1980,Shostack & Sylverson 2004,Sjoberg & Fromm 2001,Slovic 1987,Smetters & Grinter 2002,Starr 1969,Stewart 2004,Suh & Han 2003,Tan 1999,Turner et al 2001,Tversky & Kahneman 1974,Varian 1985,Varian 1992,Vila et al 2003,Whitten & Tygar 1999,Wildavsky & Dake 1990,Wolfgang & Wolfgang 1971"
2016	Golbeck & Mauriello	User Perception of Facebook App Data Access: A Comparison of Methods and Privacy Concerns	11	Facebook	120	Not specified	experimental	"privacy concerns,privacy beliefs,privacy behaviors,app use,experiment condition"	"Acquisti & Gross 2006,Dwyer et al 2007,Strater & Richter 2007,Strater & Lipford 2008,Fang et al 2010,Debatin et al 2009,Vidal & Cervera 2011,Bejarano 2015,Litt 2013,Lin & Liu 2012,Nov & Wattal 2009,Emanuel et al 2013,King et al 2011,Wang 2012,Interactive 2002,Kumaraguru & Cranor 2005,Buchanan et al 2007,Virzi 1992"
2005	Govani & Pashley	Student Awareness of the Privacy Implications When Using Facebook	242	Facebook	50	US	"descriptive, exploratory"	"information provided,reason for joining,types of friends,use of privacy settings"	"Agraz 2004,Campbell et al 2001,Cranor et al 1999,Gross & Acquisti 2005,Majmudar 2005,McCandlish 2001,Regan 2003,Schweitzer 2005,Sidman 2005,Stutzman 2005,Whelan 2005"
2002	Graeff & Harmon	Collecting and using personal data: consumers' awareness and concerns	220	E-commerce	480	US	"correlational, exploratory"	"privacy concerns,internet purchase behavior,gender,income,age"	"Ackerman 1999,Deibel 2000,Lin 2000,Fernandez 2000,Newport 2000,Phelps 1995,Ferrell 2000"
2016	Hajli & Lin	Exploring the Security of Information Sharing on Social Networking Sites: The Role of Perceived Control of Information	61	Generic	405	US	"correlational, confirmatory"	"perceived control of information,perceived privacy risk,gender,attitude toward information sharing,intent to share information,information sharing behavior"	"Ajzen 1991,Ajzen 2001,Bandura 1982,Bandura 1997,Berings & Adriaenssens 2012,Bugental et al 1989,Hovav 2009,Davenport & Pruzak 2000,Dinev & Hart 2006,Fishbein 1963,Fishbein & AJZEN 1975,An & Folkman 1984,Garbarino & Strahilevitz 2004,Govani & Pashley 2005,Black et al 2006,Hajli et al 2014,Kamis et al 2008,Wassenaar 2000,Krasnova et al 2010,Lee 2012,Krishnamurthy & Mislove 2011,Malhotra et al 2004,LinPavlou & Fygenson 2006,Pavlou et al 2007,Powell & Ansic 1997,Qureshi & Compeau 2009,Roman 2007,Rotter 1966,Schulz & Heckhausen 1996,Skinner et al 1988,Specht et al 2013,Thompson et al 1993,Slyke et al 2006,Venkatesh et al 2012,Wallhagen 1992,Wallston et al 1978,Exploring et al 2008,Tan & Agarwal 2012,Acquisti & Gross 2006,Yin & Cheng 2011,Zhang et al 2009"
2013	Hazari & Brown	An Empirical Investigation of Privacy Awareness and Concerns on Social Networking Sites	18	Generic	157	US	"correlational, exploratory"	"behavior,trust,policies,technology,gender,age,employment,sites used,how long used,how most accessed"	"Acquisti & Grossklags 2005,Agarwal 2000,Alsop 2008,Ajzen & Fishbein 1977,Ajzen & Fishbein 1980,Bagozzi & Burnkrant 1979,Barnes 2006,Bart et al 2005,Belanger et al 2002,Bessen 1993,Brenner 2013,Brown & Muchira 2004,Castaneda & Montoro 2007,Chaney 2009,Chen & Rea 2004,Culnan & Williams 2009,Deaux & Wrightsman 1988,Debatin et al 2009,Dwyer et al 2007,Eastlick et al 2006,Fogel & Nehmad 2009,Field 2009,Gliner et al 2009,Gonzalez 1992,Graeff & Harmon 2002,Gross & Acquisti 2005,Hazari et al 2009,Holzner 2008,Hoofnagle et al 2010,Jensen & Potts 2004,Joinson et al 2010,Junglas 2006,Kim et al 2008,Kaufman & Rosseeuw 2009,Lallmahamood 2007,Li et al 2007,Mackay 1991,Malhotra et al 2004,Mckeon 2010,Melone 1990,Milberg et al 2000,Milne et al 2004,Milne et al 2006,Nowak & Phelps 1992,Nunnally 1978,OBrien & Torres 2012,Olivero & Lunt 2004,Opsahl 2010,Patterson 2012,Pavlou 2011,Purcell et al 2012,Rinaldo et al 2011,Sengupta 2011,Sheehan 1999,Shilton 2009,Smith et al 2011,Stewart & Segars 2002,Stutzman 2006,Tan et al 2012,Thorndike 1996,Tsai et al 2011,Varian 2006,Wang et al 2011,Youn 2009"
2013	Heirman et al	Predicting adolescents’ willingness to disclose personal information to a commercial website: Testing the applicability of a trust-based model	12	Fictitious	1042	Belgium	"correlational, confirmatory"	"perceived ability,perceived integrity,perceived benevolence,trust in site,trust propensity,perceived risk,privacy violation experience,willingness to disclose identity data,willingness to disclose geographic data,willingness to disclose contact data,willingness to disclose profile data"	"Bhattacherjee 2002,Cai & Zhao 2010,Earp & Baumer 2003,Friedman et al 2000,Gabarro 1978,Gefen 2000,Gefen 2002,Gefen et al 2008,Grae & Harmon 2002,Gupta & Kabadayi 2010,Hugl 2011,Jarvenpaa et al 2000,Krasnova et al 2010,Lee & Turban 2001,Lenhart & Madden 2007,Lewis & Weigert 1985,Neill & Donoso 2012,Lu et al 2010,Madden et al 2013,Malhotra et al 2004,McKnight et al 2002,Mesch & Beker 2010,Moscardelli & Divine 2007,Mothersbaugh et al 2012,Schefter 2000,Ross & LaCroix 1996,Schouten et al 2007,Singh et al 2010,Taylor et al 2009,Turow & Nir 2000,Uslander 2000,Walrave et al 2012,Youn 2005,Youn 2009"
2010	Hoofnagle et al	How Different are Young Adults From Older Adults When it Comes to Information Privacy Attitudes & Policies?	180	None	975	US	"correlational, exploratory"	"age,privacy practices,level of concern,penalty for information misuse,privacy knowledge"	"Marwick et al 2010,Turow et al 2009,Roger 2009,Keating 2009,Raynes-Goldie 2010, Lenhart & Madden 2007"
2015	Hossain & Zhang	Privacy and security concern of online social networks from user perspective	2	"Facebook, Google+, LinkedIn"	377	US	"descriptive, exploratory"	"attitude toward osns,privacy attitude,privacy policy attitude,default privacy settings attitude,opinion of use of online personal information,opinion of online advertising"	"Beato & Peeters 2014,Fang & LeFevre 2010,Ahn & Jorgensen 2012,Johnson et al 2012,Krishnamurthy & Wills 2008,Lappas et al 2009,Madejski et al 2012,Miltgen & Peyrat-Guillard 2014,Pagoto et al 2014,Park et al 2014,Tucker 2014,Xiao & Tao 2006"
2005	Jensen et al	Privacy practices of Internet users: Self-reports versus observed behavior	339	Fictitious	175	US	experimental	"gender,victimhood,self-protection,computer experience,privacy values,knowledge,preferred website,privacy indicators"	"Adkinson et al 2002,Anton et al 2004,Cranor et al 1999,Culnan 1999,Culnan & Milne 2001,Earp & Meyer 2000,Harris et al 1998,Harris Interactive 2003,Jensen & Potts 2004"
